  PID TTY      STAT   TIME COMMAND
12187 ?        Sl     0:17 /usr/lib/acroread/Reader/intellinux/bin/acroread --display :0.0 -progressPipe 3 -exitPipe 4
12900 ?        Sl     0:32 /usr/bin/evince file:///tmp/assignment1.pdf
13175 ?        S      0:00 sleep 60
13780 pts/0    T      0:00 ./lsh
13849 pts/0    T      0:00 ./lsh
14059 ?        S      0:00 sleep 5
14060 pts/1    R+     0:00 ps -ax
14061 pts/1    S+     0:00 tee processes.txt
14062 pts/1    S+     0:00 more
14388 ?        S      0:19 gedit /chalmers/users/orestis/Desktop/lab1_mine/lsh.c
15135 pts/0    T      0:00 wc -l
15136 pts/0    T      0:00 wc -l
15678 pts/0    T      0:00 ./lsh
15852 pts/0    T      0:00 wc -l
15853 pts/0    T      0:00 wc -l
18137 ?        S      0:00 pam: gdm-password
18417 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
18478 ?        Ssl    0:00 gnome-session
18486 ?        S      0:00 dbus-launch --sh-syntax --exit-with-session
18487 ?        Ss     0:00 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
18627 ?        Ss     0:00 /usr/bin/seahorse-agent --variables
18631 ?        S      0:00 /usr/libexec/gvfsd
18636 ?        S      0:01 /usr/libexec/gconfd-2
18739 ?        Ssl    0:01 /usr/libexec/gnome-settings-daemon
18740 ?        Ss     0:00 seahorse-daemon
18760 ?        Sl     0:03 metacity
18764 ?        S<sl   0:00 /usr/bin/pulseaudio --start --log-target=syslog
18765 ?        S      0:02 gnome-panel
18766 ?        S      0:07 nautilus
18768 ?        Ssl    0:00 /usr/libexec/bonobo-activation-server --ac-activate --ior-output-fd=18
18773 ?        S      0:00 bluetooth-applet
18784 ?        S      0:12 /usr/libexec/wnck-applet --oaf-activate-iid=OAFIID:GNOME_Wncklet_Factory --oaf-ior-fd=18
18786 ?        S      0:00 /usr/libexec/trashapplet --oaf-activate-iid=OAFIID:GNOME_Panel_TrashApplet_Factory --oaf-ior-fd=24
18787 ?        S      0:00 gnome-volume-control-applet
18793 ?        S      0:00 /usr/libexec/gvfs-gdu-volume-monitor
18794 ?        S      0:00 abrt-applet
18797 ?        S      0:00 nm-applet --sm-disable
18799 ?        S      0:00 python /usr/share/system-config-printer/applet.py
18802 ?        S      0:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
18806 ?        S      0:00 /usr/libexec/pulse/gconf-helper
18807 ?        S      0:00 /usr/libexec/gdu-notification-daemon
18811 ?        Sl     0:03 ./escd --key_Inserted="/usr/bin/esc" --on_Signal="/usr/bin/esc"
18814 ?        Sl     0:00 /usr/libexec/gvfs-afc-volume-monitor
18819 ?        S      0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
18821 ?        S      0:00 rhsm-icon
18825 ?        S      0:00 /usr/libexec/polkit-gnome-authentication-agent-1
18827 ?        S      0:00 /usr/libexec/im-settings-daemon
18828 ?        SL     0:00 krb5-auth-dialog
18988 ?        S      0:00 /usr/libexec/gconf-im-settings-daemon
18998 ?        S      0:00 /usr/libexec/clock-applet --oaf-activate-iid=OAFIID:GNOME_ClockApplet_Factory --oaf-ior-fd=34
19000 ?        S      0:00 /usr/libexec/notification-area-applet --oaf-activate-iid=OAFIID:GNOME_NotificationAreaApplet_Factory --oaf-ior-fd=37
19001 ?        S      0:00 /usr/bin/gnote --panel-applet --oaf-activate-iid=OAFIID:GnoteApplet_Factory --oaf-ior-fd=22
